,distance,time,geometry,clock_time,From,To
0,3385,872,"LINESTRING (106.8318545 -6.3771137, 106.8316448 -6.3777351, 106.8316448 -6.3777351, 106.8317091 -6.3778853, 106.8316984 -6.3779497, 106.8315804 -6.3782287, 106.8314624 -6.3786149, 106.8312049 -6.3792479, 106.8309045 -6.380074, 106.830765 -6.3803959, 106.8298852 -6.3827348, 106.8289518 -6.3850522, 106.8288338 -6.3853848, 106.8285441 -6.3860714, 106.828233 -6.3865328, 106.8280828 -6.3866937, 106.8279755 -6.3867795, 106.8277502 -6.3870263, 106.8275893 -6.3872409, 106.8266666 -6.3882816, 106.8264091 -6.3886356, 106.8261945 -6.3889682, 106.8257117 -6.3899875, 106.8256688 -6.3900197, 106.8255293 -6.3900197, 106.8255293 -6.3900197, 106.8254864 -6.3900948, 106.8253362 -6.3905454, 106.8253362 -6.3905454, 106.8253684 -6.3906848, 106.8249285 -6.3914895, 106.8245316 -6.3923049, 106.8243706 -6.3926053, 106.8238986 -6.3933778, 106.8238127 -6.39341, 106.8236411 -6.3937855, 106.8234694 -6.394043, 106.8234694 -6.394043, 106.8234372 -6.3940859, 106.8234372 -6.3940859, 106.8233299 -6.3942468, 106.8228149 -6.3946867, 106.8218601 -6.3955772, 106.8216133 -6.3958776, 106.8214095 -6.3961565, 106.8214095 -6.3961565, 106.8216133 -6.3958776, 106.8218601 -6.3955772, 106.8228149 -6.3946867, 106.8233299 -6.3942468, 106.8234372 -6.3940859, 106.8234372 -6.3940859, 106.8234694 -6.394043, 106.8234694 -6.394043, 106.8236411 -6.3937855, 106.8238127 -6.39341, 106.8242741 -6.3926053, 106.8246925 -6.3918114, 106.824789 -6.3915646, 106.8249285 -6.3912749, 106.8253362 -6.3905454, 106.8254864 -6.3900948, 106.8256795 -6.3897729, 106.8256795 -6.3897729, 106.8256795 -6.3895905, 106.8257852 -6.3893984, 106.8257852 -6.3893984)",2019-02-04T18:00:00,01 pertigaan juanda-margonda arah ramanda,03 pertigaan ramanda arah depok mall
0,3385,844,"LINESTRING (106.8318545 -6.3771137, 106.8316448 -6.3777351, 106.8316448 -6.3777351, 106.8317091 -6.3778853, 106.8316984 -6.3779497, 106.8315804 -6.3782287, 106.8314624 -6.3786149, 106.8312049 -6.3792479, 106.8309045 -6.380074, 106.830765 -6.3803959, 106.8298852 -6.3827348, 106.8289518 -6.3850522, 106.8288338 -6.3853848, 106.8285441 -6.3860714, 106.828233 -6.3865328, 106.8280828 -6.3866937, 106.8279755 -6.3867795, 106.8277502 -6.3870263, 106.8275893 -6.3872409, 106.8266666 -6.3882816, 106.8264091 -6.3886356, 106.8261945 -6.3889682, 106.8257117 -6.3899875, 106.8256688 -6.3900197, 106.8255293 -6.3900197, 106.8255293 -6.3900197, 106.8254864 -6.3900948, 106.8253362 -6.3905454, 106.8253362 -6.3905454, 106.8253684 -6.3906848, 106.8249285 -6.3914895, 106.8245316 -6.3923049, 106.8243706 -6.3926053, 106.8238986 -6.3933778, 106.8238127 -6.39341, 106.8236411 -6.3937855, 106.8234694 -6.394043, 106.8234694 -6.394043, 106.8234372 -6.3940859, 106.8234372 -6.3940859, 106.8233299 -6.3942468, 106.8228149 -6.3946867, 106.8218601 -6.3955772, 106.8216133 -6.3958776, 106.8214095 -6.3961565, 106.8214095 -6.3961565, 106.8216133 -6.3958776, 106.8218601 -6.3955772, 106.8228149 -6.3946867, 106.8233299 -6.3942468, 106.8234372 -6.3940859, 106.8234372 -6.3940859, 106.8234694 -6.394043, 106.8234694 -6.394043, 106.8236411 -6.3937855, 106.8238127 -6.39341, 106.8242741 -6.3926053, 106.8246925 -6.3918114, 106.824789 -6.3915646, 106.8249285 -6.3912749, 106.8253362 -6.3905454, 106.8254864 -6.3900948, 106.8256795 -6.3897729, 106.8256795 -6.3897729, 106.8256795 -6.3895905, 106.8257852 -6.3893984, 106.8257852 -6.3893984)",2019-02-04T19:00:00,01 pertigaan juanda-margonda arah ramanda,03 pertigaan ramanda arah depok mall
0,3292,438,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T07:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,3292,460,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T08:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,3292,485,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T09:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,3292,566,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T17:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,3292,558,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T18:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,3292,535,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146418 -6.3923552, 106.8146418 -6.3923552)",2019-02-04T19:00:00,01 pertigaan juanda-margonda arah ramanda,04 pasar baru jln nusantara
0,4136,579,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146932 -6.3926697, 106.8147147 -6.3929915, 106.8147039 -6.3931847, 106.8145537 -6.3940322, 106.8145537 -6.3940322, 106.8143606 -6.3948262, 106.8142211 -6.3956201, 106.8141568 -6.3958561, 106.8138993 -6.3970256, 106.8138349 -6.3972402, 106.8136525 -6.3983023, 106.8135345 -6.398828, 106.8134487 -6.3990104, 106.8134487 -6.3990104, 106.8133307 -6.3990748, 106.8130946 -6.3991499, 106.8129981 -6.3991499, 106.8127089 -6.3990678, 106.8127089 -6.3990678)",2019-02-04T07:00:00,01 pertigaan juanda-margonda arah ramanda,05 jln raya sawangan
0,4136,608,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146932 -6.3926697, 106.8147147 -6.3929915, 106.8147039 -6.3931847, 106.8145537 -6.3940322, 106.8145537 -6.3940322, 106.8143606 -6.3948262, 106.8142211 -6.3956201, 106.8141568 -6.3958561, 106.8138993 -6.3970256, 106.8138349 -6.3972402, 106.8136525 -6.3983023, 106.8135345 -6.398828, 106.8134487 -6.3990104, 106.8134487 -6.3990104, 106.8133307 -6.3990748, 106.8130946 -6.3991499, 106.8129981 -6.3991499, 106.8127089 -6.3990678, 106.8127089 -6.3990678)",2019-02-04T08:00:00,01 pertigaan juanda-margonda arah ramanda,05 jln raya sawangan
0,4136,637,"LINESTRING (106.8318545 -6.3771137, 106.8313873 -6.3784969, 106.8305612 -6.3806856, 106.8296385 -6.3829923, 106.8287909 -6.3852131, 106.8286407 -6.3855886, 106.828469 -6.3859427, 106.8282223 -6.3863504, 106.8280935 -6.3865113, 106.8276215 -6.3870263, 106.8265378 -6.3882816, 106.8262053 -6.3887858, 106.8256795 -6.3897729, 106.8254864 -6.3900948, 106.8254864 -6.3900948, 106.8248856 -6.3901055, 106.8248856 -6.3901055, 106.8231905 -6.3901484, 106.8223643 -6.3901484, 106.8218601 -6.3901055, 106.8215275 -6.3900518, 106.8211627 -6.3899446, 106.8208623 -6.3898265, 106.8201649 -6.3895047, 106.8195426 -6.3891828, 106.818856 -6.388936, 106.8182874 -6.3888288, 106.818105 -6.3888073, 106.817708 -6.3887966, 106.8166566 -6.3888717, 106.8156803 -6.3888824, 106.81494 -6.388818, 106.8146074 -6.3888073, 106.8142748 -6.388818, 106.8142748 -6.388818, 106.8142748 -6.3892901, 106.8143177 -6.3897085, 106.8143499 -6.3898587, 106.8144679 -6.3909745, 106.8145537 -6.3915646, 106.8146074 -6.392144, 106.8146932 -6.3926697, 106.8147147 -6.3929915, 106.8147039 -6.3931847, 106.8145537 -6.3940322, 106.8145537 -6.3940322, 106.8143606 -6.3948262, 106.8142211 -6.3956201, 106.8141568 -6.3958561, 106.8138993 -6.3970256, 106.8138349 -6.3972402, 106.8136525 -6.3983023, 106.8135345 -6.398828, 106.8134487 -6.3990104, 106.8134487 -6.3990104, 106.8133307 -6.3990748, 106.8130946 -6.3991499, 106.8129981 -6.3991499, 106.8127089 -6.3990678, 106.8127089 -6.3990678)",2019-02-04T09:00:00,01 pertigaan juanda-margonda arah ramanda,05 jln raya sawangan
